product_name,sds_filename,database_match,match_confidence,signal_word,hazard_statements,precautionary_statements,response_statements,components_determining_hazard,first_aid,storage,disposal,un_number,proper_shipping_name,hazard_class,packing_group,emergency_response_guide,extraction_confidence,processing_notes,processing_timestamp
SpecPoxy Grout HS (Part A),SpecPoxy-Grout-HS-sds.pdf,SpecPoxy Grout HS (Part A),0.6538461538461539,WARNING,H315 Causes skin irritation H317 May cause an allergic skin reaction H319 Causes serious eye irritation H341 Suspected of causing genetic defects H411 Toxic to aquatic life with long lasting effects,P280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling. P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P261 Avoid breathing dust/fume/gas/mist/vapours/spray. P272 Contaminated clothing should not be allowed out of the workplace. P273 Avoid release to the environment,,"WT% CAS No. EINECS No. Hazard Classification Bisphenol A Diglycidyl Ether Resin 60-70% 25068-38-6 500-033-5 Skin Irrit. 2, Skin Sens. 1, Eye Irrit. 2, Aquatic Chronic 2 Glycidyl 2-methylphenyl Ether 5-10% 2210-79-9 218-645-3 Skin Irrit. 2, Skin Sens. 1, Muta. 2, Aquatic Chronic 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediatly. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to the eyes may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure.","and use. 10.3 Possibility of Hazardous Reactions: Will not occur. 10.4 Conditions to Avoid: Heat, open flame or other sources of ignition. 10.5 Incompatible Substances: Strong oxidizing agents. 10.6 Hazardous Decomposition Products: Carbon monoxide, Carbon dioxide and other decomposition products can occur during combustion if not use according to specifications. 11.1 Information on Toxicological Effects: Benzyl Alcohol: RTECS Number: DN3150000 Skin: Administration onto the skin – Rabbit LD50 – Lethal dose, 50 percent kill: 2000 mg/kg [Details of toxic effects not reported other than lethal dose value]. Administration onto the skin – Rabbit Standard Draize test: 100 mg/24H [Moderate] (RTECS) Inhalation: Inhalation – Mouse LC50 – Lethal concentration, 50 percent kill: >500 mg/m3 [Behavioral – Somnolence (general","). 7.1 Precautions for Safe Handling: To prevent eye contact under the foreseeable conditions of use, wear appropriate safety eyewear. When handling, do not eat, drink, or smoke. Wash thoroughly after handling. Do not handle or store near heat, sparks, or flame. 7.2 Storage and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Epoxy. 8.1 Exposure Parameters: Ingredients CAS No. OSHA PEL NIOSH PEL Bisphenol A Diglycidyl Ether Resin 25068-38-6 Not Listed Not Listed Glycidyl 2-methylphenyl Ether 2210-79-9 Not Listed Not Listed 8.2 Exposure Controls: Ventilation and Engineering Controls: Use with adequate ventilation to ensure exposure levels are maintained below the limits provided above. The following information on appropriate Personal Protective Equipment is provided to assist employers in complying with OSHA regulations found in 29 CFR Subpart I (beginning at 1910.132), or",,None Section 14: - TRANSPORTATION INFORMATION Section 13: – DISPOSAL CONSIDERATIONS Version 1 pg. 9 SpecPoxy Grout HS Part A,Number and Description: Class 8 – Corrosive substances,Not applicable,,86,Low product match confidence,2025-09-25T06:16:57.470Z
SpecPoxy Grout (Part A),SpecPoxy-Grout-Part-A-B-C-sds.pdf,SpecPoxy Grout (Part A),0.8,WARNING,H315 Causes skin irritation H317 May cause an allergic skin reaction H319 Causes serious eye irritation H341 Suspected of causing genetic defects H411 Toxic to aquatic life with long lasting effects,P280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling. P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P261 Avoid breathing dust/fume/gas/mist/vapours/spray. P272 Contaminated clothing should not be allowed out of the workplace. P273 Avoid release to the environment,,"WT% CAS No. EINECS No. Hazard Classification Bisphenol A Diglycidyl Ether Resin 60-70% 25068-38-6 500-033-5 Skin Irrit. 2, Skin Sens. 1, Eye Irrit. 2, Aquatic Chronic 2 Glycidyl 2-methylphenyl Ether 5-10% 2210-79-9 218-645-3 Skin Irrit. 2, Skin Sens. 1, Muta. 2, Aquatic Chronic 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","4.1 Description of First Aid Measures: Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediatly. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to the eyes may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure.",and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Epoxy.,"Statements: P501 Dispose of contents/container in accordance with local/regional/national/international regulations. 2.3 Health Hazards or Risks From Exposure: Symptoms of Overexposure by Route of Exposure: The most significant routes of overexposure for this product are by contact with skin or eyes. The symptoms of overexposure are described in the following paragraphs. Acute: Inhalation: May cause respiratory tract irritation. May cause headaches, drowsiness, or dizziness. Skin Contact: May be irritating to skin. Contact with skin may cause allergic reaction. Eye Contact: May cause irritation to the eyes. Ingestion: May be harmful if swallowed. May cause nausea or diarrhea. Chronic: Not known. SpecPoxy Grout Part A Version 1 pg. 3 Target Organs: Acute: Eyes, Skin Chronic: Not known.",,"Amines, liquid, corrosive, n.o.s. (contains Tetraethylpentamine)",Number and Description: Class 8 – Corrosive substances,Not applicable,,86,,2025-09-25T06:16:57.544Z
SpecPoxy Grout (Part C),SpecPoxy-Grout-Part-C-LD-sds.pdf,SpecPoxy Grout (Part C),0.8333333333333334,DANGER,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Crystalline Silica (Quartz)/ Silica Sand 50–70% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Portland Cement 25–45% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Calcium Oxide 3–10% 1305-78-8 215-138-9 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Aluminum Sulfate 1–4% 10043-01-3 233-135-0 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","4.1 Description of First Aid Measures: Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. SpecPoxy Grout Part C Version 1 pg. 4 Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center if you feel unwell. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin and respiratory may cause irritation. Contact with the eyes may cause burns. Contact with skin may cause an allergic reaction. Repeated exposure may cause damage to the lungs. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure.",and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Rapid setting concrete repair mortar.,"Statements: P501 Dispose of contents/container in accordance with local/regional/national/international regulations.. 2.3 Health Hazards or Risks From Exposure: Symptoms of Overexposure by Route of Exposure: The most significant routes of overexposure for this product are by contact with skin or eyes. The symptoms of overexposure are described in the following paragraphs. Acute: Inhalation: May cause respiratory irritation. Skin Contact: May cause irritation to skin. Eye Contact: Contact with the eyes may cause burns or irritation. Ingestion: May cause gastrointestinal irritation, nausea, and vomiting. Chronic: Repeated exposure may cause skin dryness or cracking. Target Organs: Acute: Eyes, Skin, Respiratory Chronic: Lung, Skin",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:57.578Z
SpecPatch 5,SpecPoxy-HSHV-sds.pdf,SpecPatch 5,0.5,WARNING,H315 Causes skin irritation H317 May cause an allergic skin reaction H319 Causes serious eye irritation H411 Toxic to aquatic life with long lasting effects,P280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling. P261 Avoid breathing dust/fume/gas/mist/vapours/spray. P272 Contaminated clothing should not be allowed out of the workplace. P273 Avoid release to the environment.,,"WT% CAS No. EINECS No. Hazard Classification Proprietary Ingredient 50-60% - - - Bisphenol A Diglycidyl Ether Resin 40-45% 25068-38-6 500-033-5 Skin Irrit. 2, Skin Sens. 1, Eye Irrit. 2, Aquatic Chronic 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to the eyes may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",and use. 10.3 Possibility of Hazardous Reactions: Will not occur.,".  Approach spill areas with caution.  If liquid was introduced, create a dike or trench to contain material.  Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills:  Place in leak-proof containers. Seal tightly for proper disposal.  Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,"Amines, liquid, corrosive, n.o.s. (m- Phenylenebis(methylamine)",Number and Description: Class 8 – Corrosive substances,Not applicable,,86,Low product match confidence,2025-09-25T06:16:57.639Z
SpecPoxy Mortar (Part A),SpecPoxy-Metallic-Mortar-PartA&B-sds.pdf,SpecPoxy Mortar (Part A),0.59375,WARNING,H315 Causes skin irritation H317 May cause an allergic skin reaction H319 Causes serious eye irritation H341 Suspected of causing genetic defects H411 Toxic to aquatic life with long lasting effects,P280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling. P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P261 Avoid breathing dust/fume/gas/mist/vapours/spray. P272 Contaminated clothing should not be allowed out of the workplace. P273 Avoid release to the environment,,"WT% CAS No. EINECS No. Hazard Classification Bisphenol A Diglycidyl Ether Resin 60-70% 25068-38-6 500-033-5 Skin Irrit. 2, Skin Sens. 1, Eye Irrit. 2, Aquatic Chronic 2 Glycidyl 2-methylphenyl Ether 5-10% 2210-79-9 218-645-3 Skin Irrit. 2, Skin Sens. 1, Muta. 2, Aquatic Chronic 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediatly. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to the eyes may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure.",Statements: P405 Store locked up.,"). 7.1 Precautions for Safe Handling: To prevent eye contact under the foreseeable conditions of use, wear appropriate safety eyewear. When handling, do not eat, drink, or smoke. Wash thoroughly after handling. Do not handle or store near heat, sparks, or flame. 7.2 Storage and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Epoxy. 8.1 Exposure Parameters: Ingredients CAS No. OSHA PEL NIOSH PEL Bisphenol A Diglycidyl Ether Resin 25068-38-6 Not Listed Not Listed Glycidyl 2-methylphenyl Ether 2210-79-9 Not Listed Not Listed 8.2 Exposure Controls: Ventilation and Engineering Controls: Use with adequate ventilation to ensure exposure levels are maintained below the limits provided above. The following information on appropriate Personal Protective Equipment is provided to assist employers in complying with OSHA regulations found in 29 CFR Subpart I (beginning at 1910.132), or",,None Section 14: - TRANSPORTATION INFORMATION Section 13: – DISPOSAL CONSIDERATIONS Version 1 pg. 9 SpecPoxy Metallic Mortar Part A,Number and Description: None,Not applicable,,86,Low product match confidence,2025-09-25T06:16:57.685Z
SpecPoxy Mortar (Part A),SpecPoxy-Mortar-sds.pdf,SpecPoxy Mortar (Part A),0.625,WARNING,H315 Causes skin irritation H317 May cause an allergic skin reaction H319 Causes serious eye irritation H341 Suspected of causing genetic defects H411 Toxic to aquatic life with long lasting effects,P280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling. P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P261 Avoid breathing dust/fume/gas/mist/vapours/spray. P272 Contaminated clothing should not be allowed out of the workplace. P273 Avoid release to the environment,,"WT% CAS No. EINECS No. Hazard Classification Bisphenol A Diglycidyl Ether Resin 60-70% 25068-38-6 500-033-5 Skin Irrit. 2, Skin Sens. 1, Eye Irrit. 2, Aquatic Chronic 2 Glycidyl 2-methylphenyl Ether 5-10% 2210-79-9 218-645-3 Skin Irrit. 2, Skin Sens. 1, Muta. 2, Aquatic Chronic 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediatly. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to the eyes may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure.",and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Epoxy.,"). 7.1 Precautions for Safe Handling: To prevent eye contact under the foreseeable conditions of use, wear appropriate safety eyewear. When handling, do not eat, drink, or smoke. Wash thoroughly after handling. Do not handle or store near heat, sparks, or flame. 7.2 Storage and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Epoxy. 8.1 Exposure Parameters: Ingredients CAS No. OSHA PEL NIOSH PEL Bisphenol A Diglycidyl Ether Resin 25068-38-6 Not Listed Not Listed Glycidyl 2-methylphenyl Ether 2210-79-9 Not Listed Not Listed 8.2 Exposure Controls: Ventilation and Engineering Controls: Use with adequate ventilation to ensure exposure levels are maintained below the limits provided above. The following information on appropriate Personal Protective Equipment is provided to assist employers in complying with OSHA regulations found in 29 CFR Subpart I (beginning at 1910.132), or",,None Section 14: - TRANSPORTATION INFORMATION Section 13: – DISPOSAL CONSIDERATIONS Version 1 pg. 9 SpecPoxy Mortar Part A,Number and Description: Class 8 – Corrosive substances,Not applicable,,86,Low product match confidence,2025-09-25T06:16:57.766Z
SpecPoxy Sealer (Part A),SpecPoxy-Sealer-PartA&B-sds.pdf,SpecPoxy Sealer (Part A),0.8333333333333334,DANGER,H315 Causes skin irritation H317 May cause an allergic skin reaction H319 Causes serious eye irritation H341 Suspected of causing genetic defects H411 Toxic to aquatic life with long lasting effects H226 Flammable liquid and vapour H350 May cause cancer H335 May cause respiratory irritation H336 May cause drow siness or dizziness H304 May be fatal if swallowed and enters airways,,,"WT% CAS No. EINECS No. Hazard Classification Benzyl Alcohol < 30% 100 - 51 - 6 202 - 859 - 9 Hazard Classification: Acute Tox. 4(Oral), Eye Irrit.2, Skin Irrit.2 Bisphenol A Diglycidyl Ether Resin 60 - 70% 25068 - 38 - 6 500 - 033 - 5 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2 Aromatic Hydrocarbon 25 - 30% 64742 - 95 - 6 265 - 199 - 0 Skin Irrit. 2, Skin Sens. 1, Muta. 2, Aquatic Chronic 2 Balance of other ingredients are non - hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to suppor t vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediatly. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre - existing skin, respiratory sy stem or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin and eyes may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P405 Store locked up. P403+P235 Store in well - ventilated place. Keep cool.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non - reactive material. Large Spills: • Place in leak - proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those o f Australia, Japan and EU Member States (see",,"Combustible Liquid, n.o.s. ( contains Aromatic Hydrocarbon)",Number and Description: Class 3 – Combustible Liquid,Packing Group: III,,71,,2025-09-25T06:16:57.833Z
SpecRez,SpecPrep-SB-sds.pdf,SpecRez,0.75,WARNING,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well - ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",IF ON SKIN: Wash with plenty of soap and water.,"WT% CAS No. EINECS No. Hazard Classification Bisphenol A Diglycidyl Ether Resin 60 - 70% 25068 - 38 - 6 500 - 033 - 5 Skin Irrit. 2, Skin Sens. 1, Eye Irrit. 2, Aquatic Chronic 2 Balance of other ingredients are non - hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: Rinse opened eye for several minutes under running water. If symptoms persist, consult a doctor. · After swallowing: Drink plenty of water and provide fresh air. Call for a doctor immediately. Skin Contact: Immediately wash with water and soap and rinse thoroughly. Inhalation: Supply fresh air and to be sure call for a doctor. Ingestion: Drink plenty of water and provide fresh air. Call for a doctor immediately. Medical Conditions Generally Aggravated By Exposure: No further relevant information available. 4.2 Symptoms and Effects Both Acute and Delayed: No further relevant information available. 4.3 Recommendations to Physicians: No further relevant information available.","and use, hazardous reactions will not occur. 10.4 Conditions to Avoid: No specific data. 10.5 Incompatible Substances: No specific data .",". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non - reactive material. Large Spills: • Place in leak - proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,E nvironmentally,Number and Description: 9 - Miscellaneous dangerous substances and articles.,Packing Group: III,,86,Low product match confidence,2025-09-25T06:16:57.914Z
SpecPrime,SpecPrime-sds.pdf,SpecPrime,1,NONE,,,,"s. Comprehensive Environmental Response, Compensation, and Liability Act of 1980 (CERCLA)","Inhalation: Move to fresh air. Skin contact: Wash with water and soap as a precaution. If skin irritation persists, call a physician. Eye contact: Rinse with plenty of water. If eye irritation persists, consult a specialist. Ingestion: Drink 1 or 2 glasses of water. Consult a physician if necessary. Never give anything by mouth to an unconscious person. Most important symptoms and effects, both acute and delayed: Aside from the information found under Description of first aid measures (above) and Indication of immediate medical attention and special treatment needed (below), any additional important symptoms and effects are described in",Keep from freezing - product stability may be affected. STIR WELL BEFORE USE. Storage stability Storage temperature: 1 - 49 °C (34 - 120 °F) Other data: Monomer vapors can be evolved when material is heated during processing operations. See,". Precautions for safe handling: Avoid contact with eyes, skin and clothing. Wash thoroughly after handling. Keep container tightly closed. Do not breathe vapors, mist or gas. Conditions for safe storage: Keep from freezing - product stability may be affected. STIR WELL BEFORE USE. Storage stability Storage temperature: 1 - 49 °C (34 - 120 °F) Other data: Monomer vapors can be evolved when material is heated during processing operations. See",,,ification: This material is not hazardous,,,14,Low extraction confidence,2025-09-25T06:16:57.939Z
SpecRez,SpecRez-SDS-R020624-sds.pdf,SpecRez,0.9,DANGER,H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H304 May be fatal if swallowed and enters airways H372 Causes damage to organs through prolonged or repeated exposure (Central Nervous System),"P 280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling. P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breathe dust/fume/gas/mist/vapours/spray. P270 Do not eat, drink or smoke when using this product.",P302+P352 IF ON SKIN: Wash with plenty of water. P321 Specific treatment (see supplemental,"WT% CAS No. EINECS No. Hazard Classification Solvent Naphtha (Petroleum), Light Aromatic <1.5% 64742-95-6 265-199-0 Flammable liquids Category 3, Skin corrosion/ irritation Category 2; Serious eye damage/eye irritation Category 2A; Carcinogenicity Category 2; Specific target organ toxicity (single exposure) Category 3 – Narcotics effects, Respiratory irritation p-Chloro-a,a,a-triflourotoluene <2.0% 98-56-6 202-681-1 Flammable liquids Category 3, Specific target organ toxicity (single exposure) Category 3, Target Organs – Central nervous system (CNS) and Respiratory Irritation. Fatty Acid(Oleic Acid) 0-2% 112-80-1 204-007-1 Skin Irrit 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention.","and use. 10.3 Possibility of Hazardous Reactions: Will not occur. 10.4 Conditions to Avoid: Avoid excessive temperatures, exposure to sunlight, sources of ignition.",". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:57.970Z
